"state","violation_raw","violation","violation_clean"
"SC","Speeding or Too Fast For Conditions (11-24 m.p.h. above posted limit) (RADAR)","Speeding or Too Fast For Conditions (11-24 m.p.h. above posted limit) (RADAR)","Speeding"
"SC","Speeding or Too Fast For Conditions (11-24 m.p.h. above posted limit)","Speeding or Too Fast For Conditions (11-24 m.p.h. above posted limit)","Speeding"
"SC","Speeding or Too Fast For Conditions (25 m.p.h. or above the posted limit) (RADAR)","Speeding or Too Fast For Conditions (25 m.p.h. or above the posted limit) (RADAR)","Speeding"
"SC","Speeding or Too Fast For Conditions (25 m.p.h. or above the posted limit)","Speeding or Too Fast For Conditions (25 m.p.h. or above the posted limit)","Speeding"
"SC","Trash, etc. on Highway","Trash, etc. on Highway","Other"
"SC","Turning Unlawfully","Turning Unlawfully","Safe movement"
"SC","Vehicle in Unsafe Condition","Vehicle in Unsafe Condition","Equipment"
"SC","Vehicle License Improper","Vehicle License Improper","License"
"SC","Vehicle License Violation","Vehicle License Violation","License"
"SC","Violation Minimum Speed Law","Violation Minimum Speed Law","Speeding"
"SC","Walking Violations","Walking Violations","Other"
"SC","Wrong Side of Road","Wrong Side of Road","Safe movement"
"SD","22-42-6 - Possession of Marijuana 2 oz or less (M1)","22-42-6 - Possession of Marijuana 2 oz or less (M1)","Other"
"SD","22-42A-3 - Possession or Use Drug Paraphernalia","22-42A-3 - Possession or Use Drug Paraphernalia","Other"
"SD","32-12-22 - Driving Without Valid License or Permit","32-12-22 - Driving Without Valid License or Permit","License"
"SD","32-12-39 - Driver's License Not In Possession","32-12-39 - Driver's License Not In Possession","License"
"SD","32-12-65 (2) - Driving Under Suspension (M2)","32-12-65 (2) - Driving Under Suspension (M2)","License"
"SD","32-15-17 - Improper Muffler or Exhaust System","32-15-17 - Improper Muffler or Exhaust System","Equipment"
"SD","32-15-2.3 - Windshield - Cracked, Broken or Distorted Glass Prohibited","32-15-2.3 - Windshield - Cracked, Broken or Distorted Glass Prohibited","Equipment"
"SD","32-15-6 - Dangling Objects","32-15-6 - Dangling Objects","Equipment"
"SD","32-17-1 - Motor Vehicles Required to Have Headlights","32-17-1 - Motor Vehicles Required to Have Headlights","Lights"
"SD","32-17-11 - Improper Lighting of License Plate","32-17-11 - Improper Lighting of License Plate","Lights"
"SD","32-17-7 - Fail to Dim Headlights","32-17-7 - Fail to Dim Headlights","Safe movement"
"SD","32-17-8 - Rear Lamps Required-Height of Mounting","32-17-8 - Rear Lamps Required-Height of Mounting","Lights"
"SD","32-17-8.1 - Stop Lamps Required","32-17-8.1 - Stop Lamps Required","Lights"
"SD","32-22-16 - Overweight Vehicles","32-22-16 - Overweight Vehicles","Other"
"SD","32-23-1 - DUI 1st Offense (M1)","32-23-1 - DUI 1st Offense (M1)","DUI"
"SD","32-24-8 - Careless Driving (M2)","32-24-8 - Careless Driving (M2)","Safe movement"
"SD","32-25-1.1 - Speeding on State Highway (01-05 MPH Over Limit)","32-25-1.1 - Speeding on State Highway (01-05 MPH Over Limit)","Speeding"
"SD","32-25-1.1 - Speeding on State Highway (06-10 MPH Over Limit)","32-25-1.1 - Speeding on State Highway (06-10 MPH Over Limit)","Speeding"
"SD","32-25-1.1 - Speeding on State Highway (11-15 MPH Over Limit)","32-25-1.1 - Speeding on State Highway (11-15 MPH Over Limit)","Speeding"
"SD","32-25-1.1 - Speeding on State Highway (16-20 MPH Over Limit)","32-25-1.1 - Speeding on State Highway (16-20 MPH Over Limit)","Speeding"
"SD","32-25-4 - Maximum Speeds on Interstate Highways","32-25-4 - Maximum Speeds on Interstate Highways","Speeding"
"SD","32-25-4 - Speeding on Interstate (01-05 MPH Over Limit)","32-25-4 - Speeding on Interstate (01-05 MPH Over Limit)","Speeding"
"SD","32-25-4 - Speeding on Interstate (06-10 MPH Over Limit)","32-25-4 - Speeding on Interstate (06-10 MPH Over Limit)","Speeding"
"SD","32-25-4 - Speeding on Interstate (11-15 MPH Over Limit)","32-25-4 - Speeding on Interstate (11-15 MPH Over Limit)","Speeding"
"SD","32-25-7 - Speeding Other Roadways (01-05 MPH Over Limit)","32-25-7 - Speeding Other Roadways (01-05 MPH Over Limit)","Speeding"
"SD","32-25-7 - Speeding Other Roadways (06-10 MPH Over Limit)","32-25-7 - Speeding Other Roadways (06-10 MPH Over Limit)","Speeding"
"SD","32-25-7 - Speeding Other Roadways (11-15 MPH Over Limit)","32-25-7 - Speeding Other Roadways (11-15 MPH Over Limit)","Speeding"
"SD","32-25-7 - Speeding Other Roadways (16-20 MPH Over Limit)","32-25-7 - Speeding Other Roadways (16-20 MPH Over Limit)","Speeding"
"SD","32-25-7.1 - Speeding on Divided  Highway (01-05 MPH)","32-25-7.1 - Speeding on Divided  Highway (01-05 MPH)","Speeding"
"SD","32-25-7.1 - Speeding on Divided Highway (06-10 MPH)","32-25-7.1 - Speeding on Divided Highway (06-10 MPH)","Speeding"
"SD","32-26-1 - Driving on Wrong Side of Road (M2)","32-26-1 - Driving on Wrong Side of Road (M2)","Safe movement"
"SD","32-26-17 - Improper Right Turn (M2)","32-26-17 - Improper Right Turn (M2)","Safe movement"
"SD","32-26-18 - Improper Left Turn (M2)","32-26-18 - Improper Left Turn (M2)","Safe movement"
"SD","32-26-40 - Following too Closely (M2)","32-26-40 - Following too Closely (M2)","Safe movement"
"SD","32-26-6 - Improper Lane Change (M2)","32-26-6 - Improper Lane Change (M2)","Safe movement"
"SD","32-29-2.1 - Stop Sign Violation","32-29-2.1 - Stop Sign Violation","Stop sign/light"
"SD","32-31-6.1 - Failure to Stop/Move Over Violation/Yield to Emergency Vehicle","32-31-6.1 - Failure to Stop/Move Over Violation/Yield to Emergency Vehicle","Safe movement"
"SD","32-33-17 - Failure to Stop at State Weighing Station","32-33-17 - Failure to Stop at State Weighing Station","Truck"
"SD","32-35-113 - No Proof of Insurance","32-35-113 - No Proof of Insurance","Paperwork"
"SD","32-38-1 - Seatbelts-Fail to Use Seatbelts","32-38-1 - Seatbelts-Fail to Use Seatbelts","Seat belt"
"SD","32-5-2.4 - Expired License Plates","32-5-2.4 - Expired License Plates","Registration/plates"
"SD","32-5-91 - Vehicle Registration Not in Possession","32-5-91 - Vehicle Registration Not in Possession","Registration/plates"
"SD","32-5-98 - Conspicuous Display Plates or Number","32-5-98 - Conspicuous Display Plates or Number","Registration/plates"
"SD","35-1-9.1 - Open Container/Motor Vehicle (M2)","35-1-9.1 - Open Container/Motor Vehicle (M2)","Other"
"SD","49-28A-3 - Federal Regulations Pertaining To Motor Carriers","49-28A-3 - Federal Regulations Pertaining To Motor Carriers","Other"
"SD","88-88-9 - INTERNAL USE ONLY -- WARRANT LOW MISDEMEANOR","88-88-9 - INTERNAL USE ONLY -- WARRANT LOW MISDEMEANOR","Other"
"TN","1","Speeding","Speeding"
"TN","103","Multiple","Registration/plates"
"TN","104","Multiple","Lights"
"TN","107","Multiple","Equipment"
"TN","110","Financial Responsibility Law; Insurance Law","Paperwork"
"TN","111","Speeding in construction zone","Speeding"
"TN","115","Child restraint (4-15 years of age )","Seat belt"
"TN","117","Multiple","Seat belt"
"TN","118","Seat belt as passenger – 18  years and older","Seat belt"
"TN","126","Drivers license to be carried and exhibited","License"
"TN","127","Move-over Law","Other"
"TN","129","Seat belt – 16 and 17 year olds  (ticketed driver or passenger)","Seat belt"
"TN","13","Multiple","License"
"TN","15","Multiple","License"
"TN","162","Multiple","Other"
"TN","178","Open container","DUI"
"TN","19","Unsafe operation","Safe movement"
"TN","199","Multiple","Other"
"TN","2","Reckless driving","Safe movement"
"TN","22","Driving while license revoked; allowing revoked driver to drive","License"
"TN","220","DUI (no offense indicated)","DUI"
"TN","221","DUI (1st offense)","DUI"
"TN","3","Multiple","Safe movement"
"TN","393","Child restraint (0-4 yrs of age)","Seat belt"
"TN","4","Multiple","Safe movement"
"TN","42","Driving while license suspended/allowing susp. driver to drive","License"
"TN","56","Implied consent/Violation of implied consent (VIC)","Other"
"TN","570","No Haz-Mat certificate of registration; no shipping papers/placards","Paperwork"
"TN","582","Logbook – record of duty status not current","Paperwork"
"TN","590","Multiple","Paperwork"
"TN","591","Over-weight axles/tandems","Truck"
"TN","596","Over-length","Truck"
"TN","6","Following too closely; following improperly","Safe movement"
"TN","7","Multiple","Safe movement"
"TN","744","Multiple","Safe movement"
"TN","745","Failure to exercise due care","Safe movement"
"TX","'Safety Seat SysChild PassChild<8 unless taller than 4'9"" not secured by'","'Safety Seat SysChild PassChild<8 unless taller than 4'9"" not secured by'","Seat belt"
"TX","Affix Unauthorized Sunscreening Device To Motor Vehicle","Affix Unauthorized Sunscreening Device To Motor Vehicle","Equipment"
"TX","All But Parent/guardian Permit Unlicensed Person To Drive","All But Parent/guardian Permit Unlicensed Person To Drive","License"
"TX","All Other Non-traffic/Criminal Violations-Felony","All Other Non-traffic/Criminal Violations-Felony","Other"
"TX","All Other Non-traffic/Criminal Violations-Misdemeanor","All Other Non-traffic/Criminal Violations-Misdemeanor","Other"
"TX","All Other Tires Less Than 2/32 Of An Inch","All Other Tires Less Than 2/32 Of An Inch","Equipment"
"TX","Any Muffler Violation","Any Muffler Violation","Equipment"
"TX","Assault-Misdemeanor","Assault-Misdemeanor","Other"
"TX","Back So As To Interfere Or Without Safety","Back So As To Interfere Or Without Safety","Other"
"TX","Change Lane When Unsafe","Change Lane When Unsafe","Safe movement"
"TX","Controlled Substance Offenses-Felony","Controlled Substance Offenses-Felony","Other"
"TX","Controlled Substance Offenses-Misdemeanor","Controlled Substance Offenses-Misdemeanor","Other"
"TX","Cut Across Drvwayswalkprkng Lotbusresidntial Entrance To Make Turn","Cut Across Drvwayswalkprkng Lotbusresidntial Entrance To Make Turn","Safe movement"
"TX","Cut In After Passing","Cut In After Passing","Safe movement"
"TX","Damaged/discolored Windshield","Damaged/discolored Windshield","Equipment"
"TX","Defective Tires","Defective Tires","Equipment"
"TX","Display Altered/mutilated DL","Display Altered/mutilated DL","License"
"TX","Display Expired License Plates/Registration (#)","Display Expired License Plates/Registration (#)","Registration/plates"
"TX","Display Fictitious License Plate","Display Fictitious License Plate","Registration/plates"
"TX","Display Unclean/mutilated License Plate","Display Unclean/mutilated License Plate","Registration/plates"
"TX","Display/Obtain Wrong License Plate","Display/Obtain Wrong License Plate","Registration/plates"
"TX","Disregard No Passing Zone (sign Or Markings)","Disregard No Passing Zone (sign Or Markings)","Safe movement"
"TX","Disregard Official Traffic Control Device","Disregard Official Traffic Control Device","Safe movement"
"TX","Disregard Red Light-traffic Signal","Disregard Red Light-traffic Signal","Stop sign/light"
"TX","Disregard Red Signal-traffic Light - Pedestrian","Disregard Red Signal-traffic Light - Pedestrian","Safe movement"
"TX","Disregard Stop Sign (#)","Disregard Stop Sign (#)","Stop sign/light"
"TX","Drive In Center Lnthree Way-two Lanenot Passing/not Making Left Turn","Drive In Center Lnthree Way-two Lanenot Passing/not Making Left Turn","Safe movement"
"TX","Drive in Left Lane When Not Passing or Where Prohibited","Drive in Left Lane When Not Passing or Where Prohibited","Safe movement"
"TX","Drive On Improved Shoulder When Prohibited","Drive On Improved Shoulder When Prohibited","Safe movement"
"TX","Drive On Wrong Side Road-no Passing Zone","Drive On Wrong Side Road-no Passing Zone","Safe movement"
"TX","Drive Onto/from Controlled Access Highway Where Prohibited","Drive Onto/from Controlled Access Highway Where Prohibited","Safe movement"
"TX","Drive Without Lights-when Required","Drive Without Lights-when Required","Lights"
"TX","Drive Wrong Way On One-way Roadway","Drive Wrong Way On One-way Roadway","Safe movement"
"TX","Driving Under the Influence by Minor (Under 21 years of age)(#)","Driving Under the Influence by Minor (Under 21 years of age)(#)","DUI"
"TX","Driving While License Invalid - DL","Driving While License Invalid - DL","License"
"TX","Driving While License Suspended (DWLS)-SR (DL)","Driving While License Suspended (DWLS)-SR (DL)","License"
"TX","Driving with Out-of-State DL for more than 90 days","Driving with Out-of-State DL for more than 90 days","License"
"TX","DWI with Child Younger Than 15 Years of Age - Felony","DWI with Child Younger Than 15 Years of Age - Felony","DUI"
"TX","DWI-1st Offense","DWI-1st Offense","DUI"
"TX","DWI-1st Offense:open Container","DWI-1st Offense:open Container","DUI"
"TX","DWI-2nd Offense","DWI-2nd Offense","DUI"
"TX","DWI-3rd/subsequent Offense","DWI-3rd/subsequent Offense","DUI"
"TX","Evading Arrest Or Detention-Felony","Evading Arrest Or Detention-Felony","Other"
"TX","Expired Driver License","Expired Driver License","License"
"TX","Fail To Change Vehicle Registration","Fail To Change Vehicle Registration","Registration/plates"
"TX","Fail To Control Speed (#)","Fail To Control Speed (#)","Speeding"
"TX","Fail To Cover Load","Fail To Cover Load","Equipment"
"TX","Fail To Dim Headlights-following","Fail To Dim Headlights-following","Lights"
"TX","Fail To Dim Headlights-meeting","Fail To Dim Headlights-meeting","Safe movement"
"TX","Fail To Display Driver License","Fail To Display Driver License","License"
"TX","Fail To Drive In Single Lane (#)","Fail To Drive In Single Lane (#)","Safe movement"
"TX","Fail to Maintain Financial Responsibility (#)","Fail to Maintain Financial Responsibility (#)","Paperwork"
"TX","Fail To Maintain Financial Responsibility With Previous Conviction","Fail To Maintain Financial Responsibility With Previous Conviction","Paperwork"
"TX","Fail to Move Over or Slow Down for Certain Vehicles","Fail to Move Over or Slow Down for Certain Vehicles","Safe movement"
"TX","Fail To Pass To Left Safely (#)","Fail To Pass To Left Safely (#)","Safe movement"
"TX","Fail To Pull To Right When Required","Fail To Pull To Right When Required","Safe movement"
"TX","Fail To Report Change Of Address/Name","Fail To Report Change Of Address/Name","Paperwork"
"TX","Fail to Secure Load / Improperly Secured Load","Fail to Secure Load / Improperly Secured Load","Equipment"
"TX","Fail To Signal Lane Change","Fail To Signal Lane Change","Safe movement"
"TX","Fail To Signal Required Distance Before Turning","Fail To Signal Required Distance Before Turning","Safe movement"
"TX","Fail To Signal Turn Including Moving Right Or Left","Fail To Signal Turn Including Moving Right Or Left","Safe movement"
"TX","Fail To Signal With Turn Indicator","Fail To Signal With Turn Indicator","Safe movement"
"TX","Fail To Stop At Designated Point At Stop Sign","Fail To Stop At Designated Point At Stop Sign","Stop sign/light"
"TX","Fail To Stop At Proper Place At Traffic Light","Fail To Stop At Proper Place At Traffic Light","Stop sign/light"
"TX","Fail To Yield At Stop Intersection","Fail To Yield At Stop Intersection","Stop sign/light"
"TX","Fail To Yield At Yield Intersection","Fail To Yield At Yield Intersection","Safe movement"
"TX","Fail To Yield Row To Emergency Vehicle","Fail To Yield Row To Emergency Vehicle","Safe movement"
"TX","Fail To Yield Row Turning Left (#)","Fail To Yield Row Turning Left (#)","Safe movement"
"TX","Fail To Yield Row","Fail To Yield Row","Safe movement"
"TX","Failure To Identify-Misdemeanor","Failure To Identify-Misdemeanor","Other"
"TX","Failure to Pay Toll (For NTTA Use Only)","Failure to Pay Toll (For NTTA Use Only)","Other"
"TX","Farm License Violation","Farm License Violation","Paperwork"
"TX","Following Too Closely","Following Too Closely","Safe movement"
"TX","Illegal Dumping/Littering","Illegal Dumping/Littering","Other"
"TX","Impeding Traffic","Impeding Traffic","Safe movement"
"TX","Improper Driver's License for Type Vehicle(specify) (DL)","Improper Driver's License for Type Vehicle(specify) (DL)","License"
"TX","Improperly Placed Or Obstructed License Plate (#)","Improperly Placed Or Obstructed License Plate (#)","Registration/plates"
"TX","Inoperable/Obscured Head Lamp(s)","Inoperable/Obscured Head Lamp(s)","Lights"
"TX","Inoperable/Obscured Stop Lamp(s) (#)","Inoperable/Obscured Stop Lamp(s) (#)","Lights"
"TX","Inoperable/Obscured Turn Signal Lamp(s)","Inoperable/Obscured Turn Signal Lamp(s)","Lights"
"TX","Minor Consume Alcohol Beverage - Misdemeanor","Minor Consume Alcohol Beverage - Misdemeanor","DUI"
"TX","Minor Possesses Alcoholic Beverage - Misdemeanor","Minor Possesses Alcoholic Beverage - Misdemeanor","DUI"
"TX","No DL When Unlicensed-Not CDL","No DL When Unlicensed-Not CDL","License"
"TX","No DL-resident In Tx Over 30 Days","No DL-resident In Tx Over 30 Days","Paperwork"
"TX","No Valid Inspection Certificate-Expired (#)","No Valid Inspection Certificate-Expired (#)","Registration/plates"
"TX","No/defective Rear Reflector Violation","No/defective Rear Reflector Violation","Equipment"
"TX","No/Expired (Specify) Commercial Motor Vehicle Inspection Certificate/Annual Dot","No/Expired (Specify) Commercial Motor Vehicle Inspection Certificate/Annual Dot","Paperwork"
"TX","No/Improper Clearance Lamp","No/Improper Clearance Lamp","Lights"
"TX","No/Improper ID Lamp","No/Improper ID Lamp","Lights"
"TX","No/Improper License Plate Lamp","No/Improper License Plate Lamp","Lights"
"TX","No/Improper Mud Flap","No/Improper Mud Flap","Equipment"
"TX","No/Improper Side Marker Lamp","No/Improper Side Marker Lamp","Lights"
"TX","No/Improper Tail Lamp - not Motorcycle","No/Improper Tail Lamp - not Motorcycle","Lights"
"TX","No/Non-Compliant Head Lamps (#)","No/Non-Compliant Head Lamps (#)","Lights"
"TX","Obstructed View Through Windshield","Obstructed View Through Windshield","Equipment"
"TX","Open Container in Motor Vehicle - Driver","Open Container in Motor Vehicle - Driver","Other"
"TX","Open Container in Motor Vehicle - Passenger (#)","Open Container in Motor Vehicle - Passenger (#)","Other"
"TX","Operate Motor Vehicle in Violation of FMVSS 571.108","Operate Motor Vehicle in Violation of FMVSS 571.108","Equipment"
"TX","Operate Motor Vehicle Without License Plates (Or With One Plate)","Operate Motor Vehicle Without License Plates (Or With One Plate)","Registration/plates"
"TX","Operate Unregistered Motor Vehicle","Operate Unregistered Motor Vehicle","Registration/plates"
"TX","Operate Vehicle With Defective/improper Safety Glazing Material","Operate Vehicle With Defective/improper Safety Glazing Material","Equipment"
"TX","Operation of Vehicle Without Registration Insignia","Operation of Vehicle Without Registration Insignia","Registration/plates"
"TX","Parent/guardian Permit Unlicensed Minor To Drive","Parent/guardian Permit Unlicensed Minor To Drive","License"
"TX","Possession or delivery of drug paraphernalia","Possession or delivery of drug paraphernalia","Other"
"TX","Public Intoxication - Pedestrian (Pedestrian on or Adjacent to Public Hwy)","Public Intoxication - Pedestrian (Pedestrian on or Adjacent to Public Hwy)","DUI"
"TX","Ride Not Secured By Safety Belt-Driver (12-1-85) (#)","Ride Not Secured By Safety Belt-Driver (12-1-85) (#)","Seat belt"
"TX","Ride Not Secured By Safety Belt-Passenger (When Required)","Ride Not Secured By Safety Belt-Passenger (When Required)","Seat belt"
"TX","Safety BeltChild<17Required to be secured by in Pass Veh","Safety BeltChild<17Required to be secured by in Pass Veh","Seat belt"
"TX","Safety BeltChildRequired to be secured by:<17 and not required to be secured under 545.412(a)","Safety BeltChildRequired to be secured by:<17 and not required to be secured under 545.412(a)","Seat belt"
"TX","Safety Chains / Cables (Specify)","Safety Chains / Cables (Specify)","Equipment"
"TX","Safety SeatChild PassengerChild<5 and/or<36 inches in height not secured by safety seat","Safety SeatChild PassengerChild<5 and/or<36 inches in height not secured by safety seat","Seat belt"
"TX","Slower Vehicle Fail To Keep To Right","Slower Vehicle Fail To Keep To Right","Safe movement"
"TX","Speeding - Zoned (Inclement Weather Signs Posted Military Zone Beach)","Speeding - Zoned (Inclement Weather Signs Posted Military Zone Beach)","Speeding"
"TX","Speeding Over Limit (#)","Speeding Over Limit (#)","Speeding"
"TX","Speeding-10% or More Above Posted Speed (#)","Speeding-10% or More Above Posted Speed (#)","Speeding"
"TX","Speeding-School Zone","Speeding-School Zone","Speeding"
"TX","Stop Lamps Not Integrated With Service Brake Application","Stop Lamps Not Integrated With Service Brake Application","Lights"
"TX","Stop Stand or Park On Main Traveled Way Outside Of Business Or Residence District","Stop Stand or Park On Main Traveled Way Outside Of Business Or Residence District","Other"
"TX","Theft-Misdemeanor","Theft-Misdemeanor","Other"
"TX","Tow Unregistered Trailer","Tow Unregistered Trailer","Registration/plates"
"TX","Turn Across Dividing Section","Turn Across Dividing Section","Safe movement"
"TX","Turn Left From Wrong Lane","Turn Left From Wrong Lane","Safe movement"
"TX","Turn Right From Wrong Lane","Turn Right From Wrong Lane","Safe movement"
"TX","Turn Right/left Too Wide","Turn Right/left Too Wide","Safe movement"
"TX","Turn When Unsafe (#)","Turn When Unsafe (#)","Safe movement"
"TX","Unsafe Speed (#)","Unsafe Speed (#)","Speeding"
"TX","Use Equipment Not Approved (Specify)(#)","Use Equipment Not Approved (Specify)(#)","Equipment"
"TX","Use Of Vision Reducing Matter On Windows - Glass Coating Material","Use Of Vision Reducing Matter On Windows - Glass Coating Material","Equipment"
"TX","Violate DL Restriction (specify)","Violate DL Restriction (specify)","License"
"TX","Violate DL Restriction-corrective Lenses","Violate DL Restriction-corrective Lenses","License"
"TX","Violate Promise To Appear","Violate Promise To Appear","Other"
"TX","Warrant Served - Misdemeanor","Warrant Served - Misdemeanor","Other"
"TX","White Light To Rear","White Light To Rear","Lights"
"TX","Wrong Color License Plate Lamp","Wrong Color License Plate Lamp","Lights"
"TX","Wrong Side Road-not Passing (#)","Wrong Side Road-not Passing (#)","Safe movement"
"VT","Externally Generated Stop","Externally Generated Stop","Other"
"VT","Investigatory Stop","Investigatory Stop","Other"
"VT","Moving Violation","Moving Violation","Moving violation"
"VT","Suspicion of DWI","Suspicion of DWI","DUI"
"VT","Vehicle Equipment","Vehicle Equipment","Equipment"
"WA","1","DUI - With test","DUI"
"WA","10","Right of way","Safe movement"
"WA","100","Smoke Marijuana Public","Other"
"WA","101","DUI - Drugs W/Test","DUI"
"WA","102","DUI - Drugs No Test","DUI"
"WA","103","DUI - Under Age W/Test","DUI"
"WA","104","DUI - Under Age No Test","DUI"
"WA","105","Alcohol in Sys W/Test","DUI"
"WA","106","Alcohol in Sys W/O Test","DUI"
"WA","107","Interlock Device (DUI)","DUI"
"WA","108","Veh Hom - DUI/Drug","Other"
"WA","109","Veh Assault - DUI/Drug","Other"
"WA","11","Centerline","Safe movement"
"WA","110","Move Over Law","Moving violation"
"WA","112","Left Lane Travel","Safe movement"
"WA","12","Lane Travel","Safe movement"
"WA","13","Shoulder","Safe movement"
"WA","14","Divider/Barrier","Safe movement"
"WA","148","Intermediate Driver Liscence","License"
"WA","149","Out of state vehicle lic.","License"
"WA","15","Passing","Safe movement"
"WA","150","Oper Liscence - C","Paperwork"
"WA","151","Vehicle Lic (tabs/plates)","Registration/plates"
"WA","152","Vehicle registration (paper)","Paperwork"
"WA","153","Debris - Thrown","Equipment"
"WA","154","Debris - Lighted","Equipment"
"WA","155","Over Llgl Gross","Truck"
"WA","156","Over Axle","Truck"
"WA","157","Over Tires","Truck"
"WA","158","Over Lic Capacity","Truck"
"WA","159","Valid Tonnage","Truck"
"WA","16","Signal","Safe movement"
"WA","160","Over Length","Truck"
"WA","161","Over Width","Truck"
"WA","162","Over Height","Truck"
"WA","163","Use Fuel","Truck"
"WA","164","Permit, Spec - None","Paperwork"
"WA","165","Permit, Spec - Size","Paperwork"
"WA","166","Permit, Spec - Wght","Paperwork"
"WA","167","Over Axle Spcng","Truck"
"WA","168","Over Lgl & Pmt AT","Truck"
"WA","169","Over Lgl & Pmt LT","Truck"
"WA","17","Turning","Safe movement"
"WA","170","Permit, Forest","Paperwork"
"WA","171","Permit, Comn Carr","Paperwork"
"WA","173","Child Restraint","Other"
"WA","174","Safety Belt","Seat belt"
"WA","175","HOV Violations","Moving violation"
"WA","176","Parking/Campus","Other"
"WA","177","Trip Permit - None","Paperwork"
"WA","178","License Susp/Rev 1st Deg","License"
"WA","179","Failiure to Appear","Other"
"WA","18","Stop Sign","Stop sign/light"
"WA","180","Medical Certificate","Paperwork"
"WA","181","Oper Licence - I","Paperwork"
"WA","182","Insurance - None","Paperwork"
"WA","183","M/C Helmet","Equipment"
"WA","184","License Susp/Rev 2nd Deg","License"
"WA","185","License Susp/Rev 3rd Deg","License"
"WA","186","Habitual Traffic Offender","Other"
"WA","187","M/C Endorsement","Paperwork"
"WA","19","Traffic Light","Stop sign/light"
"WA","198","Other Non-Hazd/I","Other"
"WA","199","OtherNon-Hazd/C","Other"
"WA","2","DUI - W/O Test","DUI"
"WA","20","Restrictive Sign","Safe movement"
"WA","200","Business Inspections","Other"
"WA","201","Vehicle Dealer","Other"
"WA","202","Aircraft Registration","Paperwork"
"WA","203","Hulk Hauler","Other"
"WA","204","Scrap Processor","Other"
"WA","205","Tow Truck Company","Other"
"WA","206","Fuel System","Equipment"
"WA","207","Suspension System","Equipment"
"WA","21","Headlights Dim","Lights"
"WA","22","Light Violations","Safe movement"
"WA","23","Headlights - None","Lights"
"WA","24","Log Book - Prv Carr","Truck"
"WA","25","Secure Load","Truck"
"WA","26","Brakes","Equipment"
"WA","27","Steering","Equipment"
"WA","28","Tires","Equipment"
"WA","29","Exhaust","Equipment"
"WA","3","Neg Driving - 1st Degree","Safe movement"
"WA","30","Excessive Smoke","Equipment"
"WA","301","Fail to Obtain WA Driver License","License"
"WA","31","Other Def Equipment","Equipment"
"WA","32","Parking Viol","Other"
"WA","33","Pedestrian Viol","Other"
"WA","34","Bicycle Violations","Other"
"WA","35","Hitchhiking","Other"
"WA","36","RR Crossing","Other"
"WA","37","Lane Change","Safe movement"
"WA","38","Backing","Safe movement"
"WA","39","Log Book - Reg Carr","Truck"
"WA","4","Speed","Speeding"
"WA","40","Wheels","Equipment"
"WA","41","Frame","Equipment"
"WA","42","Coupling","Truck"
"WA","43","Warning Device","Other"
"WA","44","Debris - Escape","Equipment"
"WA","45","Uncovered Load","Equipment"
"WA","46","Reckless Driving","Safe movement"
"WA","47","Hit and run","Safe movement"
"WA","48","Vehicle Homicide","Other"
"WA","49","Vehicular Assault","Other"
"WA","5","Speed - Aircraft","Speeding"
"WA","50","HOV Hot lane","Moving violation"
"WA","51","Hazmat Violations","Other"
"WA","52","Toll evasion","Other"
"WA","53","Neg Driving - 2nd Degree","Safe movement"
"WA","54","Cell phone - Text","Cell phone"
"WA","55","Cell phone - Handheld","Cell phone"
"WA","6","Speed - Radar","Speeding"
"WA","60","Fail to Carry Chains","Equipment"
"WA","61","Fail to Chain","Equipment"
"WA","62","Burglary","Other"
"WA","63","Danger Weapons","Other"
"WA","64","Disorderly Conduct","Other"
"WA","65","Drink in public","Other"
"WA","66","Harassment - Felony","Other"
"WA","67","Harassment - Misdemeanor","Other"
"WA","68","Identity Theft","Other"
"WA","69","Indecent Exposure - Felony","Other"
"WA","7","Speed - Too fast","Speeding"
"WA","70","Indecent Exposure - Misdemeanor","Other"
"WA","71","Intimid Pub Serv - Felony","Other"
"WA","72","No contct/Rest Order - Felony","Other"
"WA","73","No contct/Rest Order - Misdemeanor","Other"
"WA","74","Obstructing","Other"
"WA","75","Physical Assault - Felony","Other"
"WA","76","Physical Assault - Misdemeanor","Other"
"WA","77","Pos Stolen Prop - Felony","Other"
"WA","78","Pos Stolen Prop - Misdemeanor","Other"
"WA","79","Skateboarding","Other"
"WA","8","Impeding Traffic","Safe movement"
"WA","80","Theft - Felony","Other"
"WA","81","Theft - Misdemeanor","Other"
"WA","82","Trespassing","Other"
"WA","83","Vandalism - Felony","Other"
"WA","84","Vandalism - Misdemeanor","Other"
"WA","85","Vehicle Prowl - Felony","Other"
"WA","86","Vehicle Prowl - Misdemeanor","Other"
"WA","87","Fail to Disperse","Other"
"WA","88","Riot - Felony","Other"
"WA","89","Riot - Misdemeanor","Other"
"WA","897","Redeem Impound","Other"
"WA","9","Follow close","Safe movement"
"WA","90","Domestic Viol - Felony","Other"
"WA","900","Open Container","Other"
"WA","901","Minor in possession","Other"
"WA","902","Liquor to Minor","Other"
"WA","903","Vehicle theft","Other"
"WA","904","Drugs - Felony","Other"
"WA","905","Felony Flight - Elude","Other"
"WA","906","Misdemeanor Warrant","Other"
"WA","907","Felony Warrant","Other"
"WA","908","Drugs - Misdemeanor","Other"
"WA","909","Stolen Veh. Recovered","Other"
"WA","91","Domestic Viol - Misdemeanor","Other"
